participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
504,,,,,,,,,,,,,,ISFP,42,51,48,59,42,56,69,42,28,3,40,63,47,43,57,60,43,50,53,0,0,0,0,0,0,4,23.55421005,1,1,6,-3,0.5,2,0,1,0,1,0,0,0,29,17500,0,-1,5,35,0,0,0,0,0,0,1,8,1,0,0,0
505,,,,,,,,,,,,,,ENTP,59,37,58,53,58,69,68,83,82,4,93,77,70,90,87,77,63,77,83,2,2,3,3,2.5,2,4,21.2244898,3,2,1.5,3,1,3,4,1,1,1,3,1,0,35,100000,5,2,6,35,1,9,0,0,0,1,0,6,1,2.5,3.5,0
506,,,,,,,,,,,,,,ISTJ,23,56,74,77,43,50,47,58,10,8,50,23,27,20,67,33,33,67,30,0,2,2,2,0,0,3,21.30412827,2,1,1.5,-3,0.5,0,0,0,0,0,0,0,1,32,17500,0,-1,5,38,0,0,0,0,0,0,1,6,0,0,0,0
507,,,,,,,,,,,,,,ENFJ,49,36,51,69,40,67,82,67,47,2,60,90,47,63,70,73,53,70,77,2,1,2,-2,0,0,10,43.67105617,-1,2,0.75,-3,1,5,0,2.5,1,4.5,3,0,2,45,100000,5,-1,5,39,0,0,0,0,0,0,0,8,0,1,0,1
508,,,,,,,,,,,,,,ESFJ,80,46,47,64,83,63,72,83,38,3,87,90,90,63,67,73,80,57,77,3,2,2,1,2.5,2,2,27.10459184,2,2,6,2,1,4,3,5,0,2.5,0,0,0,55,100000,25,2,6,29,0,0,0,0,0,0,0,7,0,0,1,1
509,,,,,,,,,,,,,,INFJ,11,28,43,80,15,83,81,68,75,5,77,83,23,77,93,67,27,57,73,2,-2,-3,3,1,0,5,36.92715566,-3,-1,1.5,-3,1,3,4,2.5,4,2.5,1,1,3,40,50000,0,-3,4,38,0,0,0,0,0,0,0,7,0,1,0,2
510,,,,,,,,,,,,,,ISFP,31,53,50,62,29,50,69,54,50,9,53,67,33,43,53,63,33,40,67,2,0,1,-2,0,0,4,24.18704649,1,0,3,-2,1,4,0,2.5,0,1,0,0,0,40,50000,0,-2,5,40,0,0,0,0,0,0,0,7,0,0,0,1
511,,,,,,,,,,,,,,INFP,44,23,51,41,38,100,69,26,46,5,23,33,10,60,100,53,73,70,23,0,0,0,2,0,2,3,23.91581633,1,-2,3,-3,1,0,0,7,3,0,3,0,2,40,4500,15,-3,4,27,0,0,0,0,0,0,0,6,0,0,0,0
512,,,,,,,,,,,,,,ISTJ,42,51,59,82,50,67,58,71,46,3,70,43,47,43,63,67,43,60,33,0,2,2,2,0,0,3,16.85744017,1,1,0,-3,1,4,3,2.5,1,0,0,1,0,40,50000,0,-2,8,29,1,0,0,0,1,0,0,7,0,1,0,0
513,,,,,,,,,,,,,,INFJ,26,41,39,76,28,71,78,74,57,4,77,63,40,83,87,70,27,47,93,0,-2,0,-2,0,0,6,28.29729401,0,0,3,-3,1,2,4,2.5,0,2.5,0,0,2,40,72500,15,-2,3,46,1,0,0,0,0,1,0,8,0,0,0,1
514,,,,,,,,,,,,,,ISFJ,16,62,50,77,25,38,60,57,68,9,57,57,23,70,33,77,17,37,83,0,-1,1,-2,0,0,2,25.51020408,-1,-2,0,-3,1,1,0,0,1,0,0,0,2,40,32500,0,-2,2,35,1,0,0,0,0,0,0,7,0,0,0,0
515,,,,,,,,,,,,,,ISFJ,26,61,53,67,26,51,65,76,71,6,77,63,53,53,53,73,20,47,67,2,-2,-2,-3,0,0,1,22.55337632,-2,-2,0,-3,1,1,0,0,0,0,0,1,0,40,50000,0,-2,5,33,0,0,0,0,0,0,0,6,0,0,0,0
516,,,,,,,,,,,,,,INTJ,40,40,73,72,40,69,40,65,58,5,50,33,50,43,80,63,43,60,60,2,1,1,1,0,0,3,22.35208181,-1,1,1.5,-2,1,4,4,2.5,0,0,0,1,2,40,72500,0,2,2,41,0,0,0,0,0,0,0,6,0,1,0,0
517,,,,,,,,,,,,,,ENFP,46,43,52,60,57,68,65,74,64,4,73,77,63,73,80,77,47,50,60,0,-2,2,-3,0,0,5,21.30412827,2,2,6,3,1,2,0,2.5,0,1,3,0,2,40,32500,0,3,2,24,0,0,0,0,0,0,0,7,1,0,0,0
518,,,,,,,,,,,,,,ISTJ,36,84,81,87,26,57,57,100,22,1,100,50,30,27,60,67,60,80,43,0,1,3,3,0,0,2,29.82577957,0,3,0,0,1,2,0,2.5,1,2.5,0,0,2,50,50000,0,3,2,49,0,0,0,0,0,0,0,8,0,0,0,0
519,,,,,,,,,,,,,,INFJ,44,26,33,76,65,83,82,64,78,4,70,70,40,77,80,50,63,63,37,2,2,3,3,0,0,4,21.97265625,1,1,1.5,-1,1,9,4,2.5,1,2.5,0,1,2,35,72500,5,-3,8,29,,0,0,0,1,0,0,7.5,1,0,0,1
520,,,,,,,,,,,,,,ENTP,60,19,66,44,68,89,51,63,60,8,77,47,57,80,93,40,67,87,27,0,-2,-2,-3,0,2,2,58.94142154,-3,-2,3,-3,0.5,2,0,2.5,2,0,0,0,4,30,32500,0,-2,3,35,1,0.5,1,0,0,0,1,8.5,0,0,0,25
521,,,,,,,,,,,,,,INTJ,4,39,61,72,14,81,68,64,85,4,50,63,40,93,83,73,7,60,80,0,-2,-3,-3,1,0,2,31.33350898,-2,-2,0.375,-3,0,1,0,2.5,4,0,0,0,2,50,17500,0,-2,4,34,1,0,0,0,0,0,1,9.5,0,0,1,3
522,,,,,,,,,,,,,,INFP,36,37,49,60,33,61,68,57,38,4,53,53,37,53,77,60,50,47,47,0,1,1,-2,1,0,2,27.08333333,0,-2,3,-2,0.5,2,1,0,0,0,0,0,3,30,17500,0,-2,5,73,0,0,0,0,0,1,0,8,0,0,0,0
523,,,,,,,,,,,,,,ISFJ,44,50,46,64,71,69,76,82,50,6,80,77,57,50,80,73,43,43,63,0,-1,0,2,0,0,5,22.45527202,2,1,0,3,0,2,0,2.5,1,0,0,0,3,10,32500,5,0,5,31,1,0,0,0,0,0,0,7,0,0,0,0
524,,,,,,,,,,,,,,ENFP,68,18,20,40,71,78,90,44,36,2,37,97,50,73,87,70,77,43,87,2,2,1,2,1,6,6,30.6725918,-1,1,6,-1,1,7,4,2.5,0,0,0,1,3,35,132500,0,-2,6,42,1,0,0,1,0,1,0,6.5,2,0,0,2
525,,,,,,,,,,,,,,INFP,40,36,50,59,42,74,68,67,35,3,50,63,53,53,80,53,47,63,63,1,1,1,-1,0,0,3,18.8896604,2,1,3,1,0,5,0,0,0,0,0,0,1,15,32500,5,0,5,69,1,0,0,0,0,1,0,6.5,0,1,0,2
526,,,,,,,,,,,,,,ISFJ,3,48,49,81,8,67,78,79,56,9,87,77,20,60,70,70,13,33,100,2,3,1,2,1,0,3,30.83044983,0,2,0.75,3,1,3,4,0,0,0,0,1,3,45,100000,5,0,5,39,1,0,0,0,0,0,0,7,0,0,0,0
527,,,,,,,,,,,,,,INFP,17,24,37,61,14,82,88,69,68,9,73,87,13,77,87,73,17,47,90,0,-3,-3,-2,0,0,3,21.58657932,-2,-2,3,-3,0,1,0,2.5,1,0,0,0,4,0,72500,0,-2,5,35,0,0,0,0,0,0,1,7,0,0,1,1
528,,,,,,,,,,,,,,INFJ,19,29,47,84,10,90,97,97,75,5,97,80,17,60,100,67,57,70,83,0,-2,0,1,2.5,4,3,21.15918367,2,-2,3,3,0,2,3,5,1,6,0,0,4,2,72500,5,3,2,32,1,24,0,0,0,0,0,6,0,0,1,4
529,,,,,,,,,,,,,,ISTJ,28,67,78,87,18,63,29,39,83,9,30,50,30,40,60,60,37,40,83,2,-3,-3,-3,0,0,1,30.55555556,-3,2,0.75,-3,0.5,0,0,0,4,2.5,0,0,0,30,225000,0,-2,5,41,0,0,0,0,0,0,0,6,0,0,0,0
530,,,,,,,,,,,,,,ISTJ,38,59,57,77,43,81,86,88,17,6,87,70,33,37,87,80,57,63,57,0,2,2,3,0,1,3,34.25605536,2,3,0.75,3,1,4,4,2.5,0,2.5,0,0,1,45,32500,15,1,5,41,1,0,0,1,0,0,0,7,3.5,0,0,1
531,,,,,,,,,,,,,,ENFP,63,38,48,57,74,74,75,78,38,3,67,77,73,50,77,70,67,60,47,2,2,2,2,0,0,10,25.84775087,2,2,0.375,-3,1,2,4,7,0,1,0,1,0,40,50000,0,0,5,26,1,0,0,0,0,0,0,8,0,0,0,0
532,,,,,,,,,,,,,,ESFJ,47,49,47,70,44,69,83,69,54,2,73,93,57,70,70,73,63,53,93,0,0,0,0,0,2,3,34.32414941,0,1,6,0,1,1,4,1,0,1,7.5,0,3,50,17500,15,0,5,52,0,0,0,0,0,0,0,3.5,1,1,0,1
533,,,,,,,,,,,,,,INTP,44,26,61,63,47,90,81,83,29,5,87,53,60,27,100,63,67,57,47,3,1,1,3,0,0,2,22.32142857,2,2,3,-3,1,2,0,5,0,1,7.5,1,2,40,50000,15,-2,5,68,1,0,0,0,0,1,0,8,5,2.5,0,0
534,,,,,,,,,,,,,,INFP,36,12,48,58,36,93,81,89,56,5,97,60,43,63,100,53,50,57,63,0,1,2,0,1,0,5,19.92984694,1,1,3,0,1,5,0,2.5,0,2.5,0,0,2,70,132500,25,-1,3,39,1,0,0,0,0,0,0,8,2,0,0,0
535,,,,,,,,,,,,,,ESFP,49,53,46,60,60,54,65,58,39,3,53,63,60,53,50,63,33,37,57,2,1,-1,-1,0,0,11,21.48760331,2,-1,3,3,1,5,4,2.5,0,2.5,0,0,0,8,100000,0,0,5,32,1,0,0,0,0,0,1,7,2,0,0,0
536,,,,,,,,,,,,,,ISFJ,19,54,49,92,21,32,76,86,39,9,93,73,17,43,40,83,30,50,93,3,2,3,2,2.5,0,7,16.03305785,2,3,6,2,1,12,4,2.5,0,4.5,3,1,1,45,100000,5,3,5,51,1,0,0,0,0,1,0,8,2,0,0,0
537,,,,,,,,,,,,,,INFJ,28,41,47,78,26,68,85,79,64,6,83,87,43,63,80,83,37,30,70,2,2,2,2,0,0,3,34.68700556,2,2,0.375,-3,0.5,4,3,2.5,0,0,0,0,2,25,72500,5,-2,4,37,1,0,0,0,0,0,0,7,0,0,0,0
538,,,,,,,,,,,,,,ENTJ,51,40,67,68,51,88,76,90,7,7,93,63,30,37,90,77,83,73,63,3,2,3,3,0,0,4,26.10061114,2,3,0.375,-3,1,8,0,0,0,1,7.5,0,1,40,32500,0,-3,4,46,0,0,0,0,0,0,1,6,5,1,0,4
539,,,,,,,,,,,,,,ENTP,58,37,57,50,50,71,78,67,28,7,70,70,50,40,77,70,63,63,57,2,2,1,3,0,0,5,28.21822091,3,3,0.75,-3,1,5,4,5,0,2.5,1,2.5,0,40,100000,5,0,5,34,0,0,0,0,0,1,0,8,3.5,0,0,0
540,,,,,,,,,,,,,,ISTP,38,61,63,63,42,65,56,57,46,6,47,60,53,33,50,80,47,47,83,2,2,1,-1,0,0,3,29.16666667,-1,-2,0,2,1,2,4,1,1,1,0,1,2,40,72500,0,2,5,40,0,0,0,0,0,0,0,6,0,1,0,0
541,,,,,,,,,,,,,,INFJ,11,34,48,71,25,51,56,75,81,4,70,40,43,73,63,67,17,50,63,3,0,2,-2,1,1,2,20.32443826,1,2,12,-1,0.5,2,0,2.5,2,1,1,0,4,30,32500,0,-1,5,43,1,0,0,0,0,0,0,6,0,0,0,1
542,,,,,,,,,,,,,,INTP,26,39,57,44,15,65,74,50,69,4,50,57,37,77,70,63,33,63,77,0,-3,-3,-3,1,5,6,27.90178571,-3,-3,0.375,-3,1,1,0,5,1,1,0,0,3,40,17500,0,-3,2,36,1,0,0,0,0,0,0,6,1,0,0,1
543,,,,,,,,,,,,,,ISTJ,20,56,76,86,25,85,42,86,44,1,90,40,60,27,83,77,30,63,77,2,3,1,2,0,0,4,25.56495392,2,2,6,3,1,3,4,5,1,1,0,2.5,1,40,132500,0,1,5,26,0,0,0,0,0,0,1,8,0,1,0,1
544,,,,,,,,,,,,,,INFP,43,37,46,49,39,64,83,74,24,5,73,60,23,33,90,53,50,60,50,0,-1,0,0,1,0,6,19.72222222,-1,0,3,-1,1,3,0,1,0,0,0,0,0,38,72500,5,0,2,31,0,0,0,0,1,0,0,7,0,0,0,0
545,,,,,,,,,,,,,,ISFJ,6,50,44,87,7,36,74,75,78,9,70,63,37,73,63,70,17,30,90,0,1,0,1,0,12,2,53.74899221,2,1,1.5,-3,0.5,1,0,2.5,4,2.5,3,0,4,25,4500,0,0,2,35,0,0,0,0,0,0,0,5,0,0,7.5,3
546,,,,,,,,,,,,,,ENFP,61,41,53,57,65,65,68,79,58,3,87,77,73,70,77,77,60,70,73,1,2,2,2,2.5,1,10,23.14814815,2,2,3,-2,1,5,4,1,0,4.5,3,1,0,40,72500,15,0,6,52,0,0,0,0,1,0,0,7,0,2.5,0,0
547,,,,,,,,,,,,,,ISTP,42,48,58,58,42,71,64,68,51,4,60,53,40,57,77,60,47,60,43,2,1,2,-1,0,0,15,22.72440348,1,1,3,-1,1,15,0,2.5,0,2.5,1,1,2,40,72500,0,0,5,42,0,0,0,0,0,1,0,8,2,1,0,1
548,,,,,,,,,,,,,,INFP,21,31,46,50,22,89,76,54,78,4,43,83,30,87,90,43,17,33,67,0,-3,-3,-3,0,4,6,29.49617347,-3,-3,3,3,1,3,0,0,1,0,0,0,0,40,100000,0,-3,2,24,0,0,0,0,0,0,0,4,0,0,0,0
549,,,,,,,,,,,,,,ENFP,69,28,46,54,69,88,83,89,71,6,97,90,97,87,93,97,57,63,97,0,1,3,3,2.5,2,3,23.80480063,3,3,1.5,3,1,3,0,1,0,1,3,1,1,40,50000,5,-2,2,20,0,0,1,1,0,0,0,9,2,1,1,1
550,,,,,,,,,,,,,,ENFP,62,31,53,28,58,86,89,31,13,8,10,73,40,37,87,37,83,100,40,1,2,2,3,8.5,8,4,26.80555556,-2,2,6,-3,1,5,4,7,0,2.5,11,0,4,76,225000,0,-2,8,62,0,0,0,0,0,0,0,5,3.5,1,0,1
551,,,,,,,,,,,,,,ENFP,56,41,31,60,74,63,79,92,32,1,87,77,57,57,50,73,47,70,37,0,3,3,2,1,1,7,22.18751176,2,3,3,1,1,7,4,5,0,2.5,3,1,2,45,100000,5,1,5,31,1,0,0,0,0,0,1,5.5,2,1,3.5,2
552,,,,,,,,,,,,,,ENFP,79,20,44,52,85,78,83,78,56,7,80,80,67,67,87,63,83,73,57,0,-2,-3,-3,0,5,2,20.15587208,2,1,6,2,1,0,0,2.5,1,0,0,0,2,40,32500,0,-3,5,32,0,0,0,0,0,0,0,8,0,0,0,1
553,,,,,,,,,,,,,,ENTP,64,36,57,63,63,69,69,86,44,3,87,40,90,33,83,83,77,83,57,2,1,1,3,1,1,10,18.36547291,3,3,0.75,3,1,7,4,1,0,2.5,3,0,3,37,100000,15,-2,5,25,1,0,0,0,1,0,0,7,0,0,0,0
554,,,,,,,,,,,,,,ENTP,56,31,54,61,53,67,74,83,67,4,90,67,80,83,80,83,53,63,57,2,3,1,3,0,1,8,19.10009183,3,3,0.75,3,1,10,4,1,0,2.5,3,0,3,38,100000,15,-2,5,25,1,0,0,0,1,0,0,7,0,0,0,0
555,,,,,,,,,,,,,,ENTP,59,40,68,57,53,65,68,83,54,7,83,50,53,60,80,77,77,70,63,2,2,1,2,0,1,10,19.03114187,3,3,1.5,3,1,15,4,1,0,2.5,3,0,4,38,100000,15,-1,5,25,0,0,0,0,0,1,0,8,0,1,0,0
556,,,,,,,,,,,,,,ISTP,16,44,72,53,24,54,43,36,31,8,27,27,13,27,63,40,27,57,40,2,1,-2,2,0,0,5,36.04928991,1,2,6,2,1,5,0,7,0,1,3,1,1,45,32500,25,0,2,40,0,0,0,0,0,1,0,8.5,0,0,0,2
557,,,,,,,,,,,,,,ESTJ,46,71,56,76,38,21,74,74,56,8,80,47,20,70,13,40,40,93,43,2,-1,-3,2,0,0,3,42.97520661,-2,1,6,-1,1,3,4,0,0,0,0,0,2,40,50000,0,0,3,41,0,0,0,0,0,0,0,7,0,0,0,0
558,,,,,,,,,,,,,,INFJ,36,36,29,77,44,79,86,71,44,5,67,70,27,40,87,63,30,50,63,0,2,2,2,1,0,5,24.64603026,2,1,6,1,1,10,2,5,3,2.5,3,1,2,50,50000,25,-2,5,44,1,0,0,0,0,1,0,7,2,1,0,1
559,,,,,,,,,,,,,,ENFP,62,29,37,58,67,79,79,68,46,7,70,50,50,57,80,43,90,67,43,0,-2,-2,-1,0,0,3,61.5234375,1,2,6,-3,1,2,4,7,3,0,0,0,3,40,50000,5,-3,2,42,1,0,0,0,0,0,0,9,2,0,0,0
